epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.905,2.95613,3.80228,4.01318,0.04349,0.10858,0.07835,0.01796,3.28708,4.86989,3.96151,0.000199265,0.000199265,0.000199265
2,163.249,1.96324,2.70688,2.72392,0.25467,0.84471,0.30644,0.19105,1.35324,1.82267,2.44934,0.000397468,0.000397468,0.000397468
3,218.554,1.35741,1.91203,1.97178,0.32898,0.8595,0.4105,0.283,0.97091,1.48968,1.93422,0.000593871,0.000593871,0.000593871
4,272.686,1.10474,1.54585,1.70868,0.44882,0.8135,0.57246,0.39544,1.00517,1.34979,2.06762,0.000788475,0.000788475,0.000788475
5,326.567,0.96086,1.31408,1.56561,0.63432,0.83024,0.7473,0.59983,0.64353,1.12385,1.5116,0.000981278,0.000981278,0.000981278
6,380.137,0.88954,1.20605,1.48852,0.73999,0.75814,0.82454,0.68282,0.58207,0.95046,1.43053,0.0009775,0.0009775,0.0009775
7,434.012,0.81498,1.09708,1.42759,0.80723,0.82645,0.88016,0.71475,0.58263,0.8101,1.40712,0.000973,0.000973,0.000973
8,487.694,0.77642,1.0311,1.39553,0.72418,0.83488,0.84944,0.72164,0.56403,0.81096,1.37882,0.0009685,0.0009685,0.0009685
9,541.159,0.74973,0.97065,1.36704,0.80762,0.85744,0.91902,0.78018,0.57957,0.73201,1.39792,0.000964,0.000964,0.000964
10,594.662,0.73824,0.92888,1.35727,0.91194,0.91136,0.968,0.83945,0.51941,0.53671,1.31637,0.0009595,0.0009595,0.0009595
11,648.153,0.69953,0.85301,1.33227,0.8905,0.92319,0.97639,0.86325,0.47984,0.51332,1.26061,0.000955,0.000955,0.000955
12,701.523,0.69014,0.81889,1.3223,0.9266,0.91536,0.97477,0.85864,0.46832,0.50155,1.23783,0.0009505,0.0009505,0.0009505
